sequence_id,prediction,confidence
sco_11694at7157_Anopheles_albimanus,sco11694at7157,1.0
sco_11696at7157_Anopheles_albimanus,sco11696at7157,1.0
sco_11698at7157_Anopheles_albimanus,sco11698at7157,1.0
sco_11720at7157_Anopheles_albimanus,sco11720at7157,1.0
sco_11723at7157_Anopheles_albimanus,sco11723at7157,1.0
sco_11728at7157_Anopheles_albimanus,sco11728at7157,1.0
sco_11742at7157_Anopheles_albimanus,sco11742at7157,1.0
sco_11759at7157_Anopheles_albimanus,sco11759at7157,1.0
sco_11775at7157_Anopheles_albimanus,sco11775at7157,1.0
sco_11778at7157_Anopheles_albimanus,sco11778at7157,1.0
sco_11784at7157_Anopheles_albimanus,sco11784at7157,1.0
sco_11802at7157_Anopheles_albimanus,sco11802at7157,1.0
sco_11817at7157_Anopheles_albimanus,sco11817at7157,1.0
sco_11826at7157_Anopheles_albimanus,sco11826at7157,1.0
sco_11832at7157_Anopheles_albimanus,sco11832at7157,1.0
sco_11836at7157_Anopheles_albimanus,sco11836at7157,1.0
sco_1183at7157_Anopheles_albimanus,sco1183at7157,1.0
sco_11841at7157_Anopheles_albimanus,sco11841at7157,1.0
sco_11851at7157_Anopheles_albimanus,sco11851at7157,1.0
sco_11852at7157_Anopheles_albimanus,sco11852at7157,1.0
sco_11862at7157_Anopheles_albimanus,sco11862at7157,1.0
sco_11865at7157_Anopheles_albimanus,sco11865at7157,1.0
sco_11867at7157_Anopheles_albimanus,sco11867at7157,1.0
sco_11890at7157_Anopheles_albimanus,sco11890at7157,1.0
sco_11907at7157_Anopheles_albimanus,sco11907at7157,1.0
sco_11916at7157_Anopheles_albimanus,sco11916at7157,1.0
sco_11926at7157_Anopheles_albimanus,sco11926at7157,1.0
sco_11938at7157_Anopheles_albimanus,sco11938at7157,1.0
sco_11941at7157_Anopheles_albimanus,sco11941at7157,1.0
sco_11948at7157_Anopheles_albimanus,sco11948at7157,1.0
sco_11956at7157_Anopheles_albimanus,sco11956at7157,1.0
sco_11963at7157_Anopheles_albimanus,sco11963at7157,1.0
sco_11966at7157_Anopheles_albimanus,sco11966at7157,1.0
sco_11969at7157_Anopheles_albimanus,sco11969at7157,1.0
sco_11972at7157_Anopheles_albimanus,sco11972at7157,1.0
sco_11973at7157_Anopheles_albimanus,sco11973at7157,1.0
sco_11977at7157_Anopheles_albimanus,sco11977at7157,1.0
sco_11981at7157_Anopheles_albimanus,sco11981at7157,1.0
sco_11992at7157_Anopheles_albimanus,sco11992at7157,1.0
sco_11994at7157_Anopheles_albimanus,sco11994at7157,1.0
sco_12003at7157_Anopheles_albimanus,sco12003at7157,1.0
sco_12005at7157_Anopheles_albimanus,sco12005at7157,1.0
sco_12010at7157_Anopheles_albimanus,sco12010at7157,1.0
sco_12012at7157_Anopheles_albimanus,sco12012at7157,1.0
sco_12018at7157_Anopheles_albimanus,sco12018at7157,1.0
sco_12025at7157_Anopheles_albimanus,sco12025at7157,1.0
sco_12029at7157_Anopheles_albimanus,sco12029at7157,1.0
sco_1202at7157_Anopheles_albimanus,sco1202at7157,1.0
sco_12031at7157_Anopheles_albimanus,sco12031at7157,1.0
sco_12054at7157_Anopheles_albimanus,sco12054at7157,1.0
